Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
212 /,1000,1097,122,1516,293.99,0.00%,.8,5.39,6528.0
238 /login,1000,1275,1024,1526,86.13,0.00%,.8,6.20,7519.0
239 /login,1000,2749,202,3858,373.98,0.00%,.8,7.52,9109.2
242 /,1000,909,140,1444,296.51,0.00%,.8,5.39,6528.0
243 /forums,1000,1577,1177,2495,315.88,0.00%,.8,7.03,8517.0
244 /forum/1/topics,1000,1350,1131,1559,72.91,0.00%,.8,7.03,8517.0
245 /forum/1/topic/222,1000,1361,1188,1612,75.49,0.00%,.8,7.06,8547.0
247 /users/2,1000,1562,1188,2695,306.01,0.00%,.8,7.03,8517.0
TOTAL,8000,1485,122,3858,580.75,0.00%,6.7,52.26,7972.8
